question,optionA,optionB,optionC,optionD,correct,explanation
"Chúa Giêsu khiển trách ai khi nói : “Khốn cho các người ... ”?. (Mt 23,13)",Các kinh sư và người Pharisêu.,Các thượng tế và Xa-đốc.,Các người giả hình.,Các người tội lỗi. e. Các người cứng lòng tin.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Máu của ai đã bị các ông giết chết giữa đền thánh và bàn thờ? (Mt 23,35)",Ông Dacaria.,Ông Abel.,Ông Stephano,Ông Gióp.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ông Dacaria, người đã bị giết chết giữa đền thánh và bàn thờ, là con của ai? (Mt 23,35)",Con ông Gát.,Con ông Nathan.,Con ông Berécgia.,Con ông Bô-át.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi các môn đệ chỉ cho Chúa Giêsu xem kiến trúc Đền Thờ, Chúa Giêsu nói: Tại đây, sẽ không còn tảng đá nào trên tảng đá nào; tất cả thế nào? (Mt 24,1-2)",Đều sẽ bị phá đổ.,Đều bị thiêu huỷ.,Sẽ được phục hồi.,Đều bị xô xuống biển.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi Chúa Giêsu ngồi ở đâu, các môn đệ hỏi Người: “Xin Thầy nói cho chúng con biết khi nào những sự việc ấy xảy ra, và cứ điềm nào mà biết ngày Thầy quang lâm và ngày tận thế?”? (Mt 24,3)",Ngồi trên núi Ôliu.,Ngồi ở Đền Thờ.,Ngồi trên thuyền.,Ngồi ở nhà.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi anh em thấy đặt trong nơi thánh Đồ Ghê Tởm Khốc Hại mà ngôn sứ nào đã nói đến người đọc hãy lo mà hiểu? (Mt 24,15)",Ngôn sứ Đanien.,Ngôn sứ Elia.,Ngôn sứ Isaia,Ngôn sứ Giô-na.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ngay sau những ngày gian nan ấy, thì điều gì sẽ xảy ra? (Mt 24,29)","Mặt trời sẽ ra tối tăm, mặt trăng không còn chiếu sáng,",Các ngôi sao từ trời sa xuống.,Các quyền lực trên trời bị lay chuyển.,Tất cả những điều trên đều xảy ra. e. Không điều nào kể trên sẽ xảy ra.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Mọi chi tộc trên mặt đất sẽ làm gì và sẽ thấy Con Người rất uy nghi vinh hiển ngự giá mây trời mà đến? (Mt 24,30)",Đấm ngực.,Vỗ ngực,Cúi đầu,Bái phục.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Khi cành nó xanh tươi và đâm chồi nảy lộc, thì anh em biết là mùa hè đã đến gần”. Chúa Giêsu nói về cây gì? (Mt 24,32)",Cây nho.,Cây Ôliu.,Cây vả.,Cây sự sống.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trời đất sẽ qua đi, nhưng những lời Thầy nói sẽ thế nào? (Mt 24,35)",Chẳng qua đâu.,Chẳng mất đi.,Chẳng tồn tại.,Sẽ nên ứng nghiệm.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu ví vào thời của ai thì ngày Con Người quang lâm cũng sẽ như vậy? (Mt 24,37)",Thời ông Gióp,Thời ông Nôê.,Thời ông Abraham.,Thời ông Mô-sê.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Thời ông Nôê, thiên hạ mãi làm gì cho tới khi ông vào tàu? (Mt 24,37-38)","Thiên hạ vẫn ăn uống, cưới vợ lấy chồng.",Thiên hạ vẫn đi vào con đường tội lỗi.,"Thiên hạ vẫn cứng lòng tin, không nhận ra Thiên Chúa.",Thiên hạ chạy theo các thần ngoại.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu cảnh báo anh em hãy làm gì vì anh em không biết ngày nào Chúa của anh em đến? (Mt 24,42)",Hãy canh thức.,Hãy cầu nguyện.,Hãy ăn chay và cầu nguyện.,,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Có bao nhiêu trinh nữ cầm đèn ra đón chú rể? (Mt 25,1)",Mười.,Mười hai.,Năm.,Đông không đếm xuể.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Năm cô dại cầm đèn mà không mang gì theo? (Mt 25,3)",Thùng,Chai,Dầu.,Nến,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chú rể đến vào lúc nào? (Mt 25,6)",Nửa đêm.,Chập tối,Rạng sáng,Chính ngọ.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi chú rể đến, những ai được đi theo chú rể vào dự tiệc cưới? (Mt 25,10)",Các cô khôn.,Các cô dại.,Các phụ nữ theo Chúa Giêsu.,Không ai được theo.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trong Dụ ngôn Những Yến Bạc, người lãnh được bao nhiêu yến sinh lợi được 5 yến khác? (Mt 25,16)",Mười yến.,Năm yến.,Hai yến.,Một yến.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Người lãnh 5 yến làm gì để lợi được 5 yến khác? (Mt 25,16)",Đi làm ăn buôn bán.,Gửi ngân hàng,Cho vay lãi.,Chia cho người nghèo.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Người lãnh một yến thì làm gì? (Mt 25,18)",Tìm cách giấu đi.,Không làm gì để sinh lời.,Đào lỗ chôn giấu số bạc của chủ.,Giấu dưới gầm giường.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Với người đầy tớ lãnh 5 yến bạc, ông chủ khen như thế nào? (Mt 25,21)",Tài giỏi và trung thành.,Khôn ngoan và trung tín.,Thông minh và lanh lợi.,Tài kinh doanh buôn bán.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Người đầy tớ lãnh 1 yến bạc nghĩ chủ mình là người thế nào? (Mt 25,24)","Người hà khắc, gặt chỗ không gieo, thu nơi không vãi.",Người hà tiện và tính toán hơn thiệt.,Người hào phóng.,Người đáng sợ.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ông chủ gọi người đầy tớ lãnh một yến bạc là gì? (Mt 25,26)",Đầy tớ ngu dốt và biếng nhác.,Đầy tớ lười biếng và vô dụng.,Đầy tớ tồi tệ và biếng nhác.,Đầy tớ hiểu ý chủ.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Số phận của tên đầy tớ vô dụng kia sẽ thế nào? (Mt 25,30)","Hãy quăng nó ra chỗ tối tăm bên ngoài : ở đó, sẽ phải khóc lóc nghiến răng.",Bị tước đi số bạc và bị đuổi ra khỏi nhà.,Bị tống ngục và không còn cơ hội thoát ra ngoài.,Bị mọi người chế giễu và khinh thường.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Nào những kẻ Cha Ta chúc phúc, hãy đến thừa hưởng Vương Quốc dọn sẵn cho các ngươi ngay từ thuở tạo thiên lập địa.” Đây là lời Đức Vua nói với người đứng bên phải hay bên trái?  (Mt 25,34)",Bên phải.,Bên trái,,,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Những kẻ được chúc phúc, vì xưa họ đã làm gì cho Chúa? (Mt 25,35-36)","Đã cho ăn, đã cho uống,",Đã tiếp rước và cho mặc.,"Đã thăm viếng, đến hỏi han.",Tất cả đều đúng.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Đức Vua nói ‘mỗi lần các ngươi làm như thế cho ai là làm cho chính Ta vậy’?(Mt 25,40)",Những anh em bé nhỏ nhất.,Những anh em bạn hữu của Thầy.,Những môn đệ của Thầy.,Những người Thầy sau đến với anh em.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Những người bên trái sẽ vào đâu nơi dành sẵn cho tên Ác Quỷ và các sứ thần của nó? (Mt 25,41)",Hoả ngục.,Lửa đời đời.,Tối tăm vực thẳm.,Biển chết.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Những người bên trái ra đi để chịu cực hình muôn kiếp, còn những người công chính ra đi để làm gì? (Mt 25,46)",Hưởng sự sống muôn đời.,Hưởng vinh quang Nước Trời.,Để hầu hạ Thiên Chúa.,,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Những ai nhóm họp tại dinh của vị thượng tế tên là Caipha, và cùng nhau quyết định dùng mưu bắt Đức Giêsu và giết đi? (Mt 26,3-4)",Các kỳ mục và Kinh sư,Các thượng tế và kỳ mục.,Lính canh Đền Thờ.,Quân lính Rôma.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Các thượng tế và kỳ mục nhóm họp tại dinh của ai, và cùng nhau quyết định dùng mưu bắt Đức Giêsu và giết đi? (Mt 26,3-4)",Dinh thượng tế tên là Caipha.,Tổng trấn Philatô,Dinh của vua Hêrôđê,Dinh của hoàng đế Xê-ra.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu được người phụ nữ xức dầu thơm tại đâu? (Mt 26,6)",Tại Giêrusalem,Tại Hội Đường,Tại Đền Thờ.,Tại Bêtania.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Tại nhà của ai, Chúa Giêsu được người phụ nữ xức dầu thơm? (Mt 26,6)","Nhà ông Larazô, Matha và Maria.",Nhà ông Simon Cùi.,Nhà của Ông Phê-rô,Nhà của ông Giakêu.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai đi gặp các thượng tế mà nói : “Tôi nộp ông ấy cho quý vị, thì quý vị muốn cho tôi bao nhiêu.” ? (Mt 26,14-15)",Ông Giuđa Ítcariốt.,Các Kinh Sư,Một Thượng tế.,Ông Philato.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Các thượng tế hứa cho Giuđa bao nhiêu để hắn nộp Chúa Giêsu cho họ? (Mt 26,15)",Hai mươi đồng bạc,Ba mươi đồng bạc.,Bốn mươi đồng bạc.,Hai trăm đồng bạc,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ngày thứ nhất trong tuần gì các môn đệ đến thưa với Đức Giêsu: “Thầy muốn chúng con dọn cho Thầy ăn lễ Vượt Qua ở đâu?” ? (Mt 26, 17)",Tuần bánh không men.,Tuần Lễ Lều,Tuần Thánh.,Tuần Bát Nhật Phục Sinh.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trong bữa tiệc, ai đã nói với Chúa Giêsu “Ráp-bi, chẳng lẽ con sao?”? (Mt 26,25)",Ông Simon,Ông Gioan,Giuđa.,Ông Matheu.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu: “Đã hẳn Con Người ra đi theo như lời đã chép về Người, nhưng khốn cho kẻ nào nộp Con Người: thà ... ... ... .”  (Mt 26,24)",Nó đừng bán Thầy thì hơn.,Nó chết yểu còn hơn.,Nó theo Thầy thì hơn.,Nó đừng sinh ra thì hơn!,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu: “Tất cả anh em hãy uống chén này, vì đây là máu Thầy, máu Giao Ước, đổ ra  ... ... ... .” (Mt 26,27-28)",Cho muôn người được tha tội.,Cho mọi người được sống.,Cho muôn dân được ơn Cứu độ.,Cho loài người nhận biết Thiên Chúa.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hát Thánh Vịnh xong, Chúa Giêsu và các môn đệ ra đâu? (Mt 26,30)",Núi Ô-liu.,Núi Tabor,Vườn cây dầu.,Bờ biển hồ.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Dầu tất cả có vấp ngã vì Thầy đi nữa, thì con đây cũng chẳng bao giờ vấp ngã.” Đây là lời của ai? (Mt 26,33)",Ông Phêrô.,Ông Gioan,Ông Gia-cô-bê,Ông Giu-đa.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Thầy bảo thật anh: nội đêm nay, gà chưa kịp gáy, thì anh đã chối Thầy ba lần.” Đây là lời Chúa Giêsu nói với ai? (Mt 26,34)",Ông Phêrô.,Ông Giu-đa,Ông Cai-pha,Ông Philatô.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu tiên báo, ông Phêrô sẽ chối Thầy bao nhiêu lần ? (Mt 26,35)",Một lần,Hai lần,Ba lần.,Bảy lần.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Dầu có phải chết với Thầy, con cũng không chối Thầy.” Đây là lời của ai?(Mt 26,35)",Ông Gioan,Ông Phêrô.,Ông Gia-cô-bê,Ông Giu-đa.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Tại vườn Ghếtsêmani, Chúa Giêsu đưa ai đi riêng cầu nguyện với Ngài? (Mt 26,37)",Ông Phêrô và hai người con ông Dêbêđê.,"Ông Phê-rô, Gioan và Giu-đa.","Phê-rô, Simon và An-rê.","Elia, Mô-sê và Phê-rô.",A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Tâm hồn Thầy buồn đến chết được. Anh em ở lại đây mà canh thức với Thầy.” Đây là lời Chúa Giêsu nói với ai? (Mt 26,38)","Ông Phê-rô, Gioan và Giu-đa.",Ông Phêrô và hai người con ông Dêbêđê.,"Phê-rô, Simon và An-rê.","Elia, Mô-sê và Phê-rô.",B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu: “Lạy Cha, nếu có thể được, xin cho con khỏi phải uống chén này. Tuy vậy, xin đừng theo ý con, mà ... ... ... .” (Mt 26,39)",Xin theo ý Cha.,Thực hiện theo ý Thiên Chúa.,Xin theo Thần Khí hướng dẫn.,Xin cho ý Cha được thể hiện.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Thế ra anh em không thể canh thức nổi với Thầy một giờ sao?” Đây là lời Chúa Giêsu nói với ai? (Mt 26,40)",Ông Gioan,Ông Gia-cô-bê,Ông Phêrô.,Ông Giu-đa.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu: “Lạy Cha, nếu con cứ phải uống chén này mà không sao tránh khỏi, thì ... ... ... .” (Mt 26,42)",Thực hiện theo ý Thiên Chúa.,Xin vâng ý Cha.,Xin theo Thần Khí hướng dẫn.,Xin cho ý Cha được thể hiện.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai đã hôn Chúa Giêsu làm dấu hiệu cho người ta bắt Người? (Mt 26,48-49)",Ông Giuđa.,Ông Phao-lô,Ông Gioan,Ông Phê-rô,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Sau khi bắt Chúa Giêsu, họ điệu Người đến với ai đầu tiên? (Mt 26,57)",Philato,Vua Hê-rô-đê,Thượng tế Caipha.,Ông Đi-cô-ni-mô.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Nhân danh Thiên Chúa hằng sống, tôi truyền cho ông phải nói cho chúng tôi biết: ông có phải là Đấng Kitô Con Thiên Chúa không?” Đây là lời của ai? (Mt 26,63)",Thượng tế Caipha.,Phê-rô,Philato,Giu-đa.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi nghe Chúa Giêsu nói: “Chính ngài vừa nói. Hơn nữa, tôi nói cho các ông hay: từ nay, các ông sẽ thấy Con Người ngự bên hữu Đấng Toàn Năng và ngự giá mây trời mà đến.” Vị thượng tế có hành động gì? (Mt 26,64)",Liền xé áo mình ra.,Cởi áo choàng ra.,Vứt gậy đang cầm trên tay xuống đất.,Vỗ ngực và la lớn.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Sau khi tuyên bố “Hắn nói phạm thương” họ đã làm gì Người? (Mt 26,67)",Họ khạc nhổ vào mặt và đấm đánh Người. Có kẻ lại tát Người.,Họ sỉ nhục và đánh đòn Người.,"Họ ra tấn, hỏi cung và bắt vác thánh giá.",Họ trao nộp cho Philato xét xử.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Cả bác nữa, bác cũng đã ở với ông Giêsu, người Galilê đó chứ gì? Đây là lời của ai nói với ông Phêrô? (Mt 26,69)",Một người đầy tớ gái.,Một người lính.,Một tên đầy tớ.,Một người ăn mày.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Bác này cũng đã ở với ông Giêsu người Nadarét đấy”. Đây là lời người đầy tớ nói về ai? (Mt 26,71)",Ông Phêrô.,Giu-đa,Gioan,An-rê.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Sao khi xét  xử Chúa Giêsu, các thượng tế và kỳ mục trói Người và giải đi nộp cho ai? (Mt 27,1-2)",Tổng trấn Philatô.,Hoàng đế Xê-ra.,Vua Hê-rô-đê,Ông Trưởng Hội Đường,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Sau khi nộp người vô tội, Giuđa đã làm gì với số bạc đã nhận? (Mt 27,5)",Ông ném số bạc vào Đền Thờ và ra đi thắt cổ.,Đem về quê mua ruộng đất.,Chia cho người nghèo.,Đầu tư làm ăn để sinh lời.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Họ đã lượm lấy ba mươi đồng bạc, tức là cái giá mà một số con cái Ítraen đã đặt khi đánh giá Người.” Đây là lời ngôn sứ nào? (Mt 27,9)",Ngôn sứ Giêrêmia.,Ngôn sứ Elia,Ngôn sứ Isaia,Ngôn sứ Daniel.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Ông là vua dân Do-thái sao?” Đây là lời của ai hỏi Chúa Giêsu? (Mt 27,11)",Tổng trấn Philatô.,Vua Hê-rô-đê,Thượng tế Cai-pha,Lính Rôma.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Người tù khét tiếng được dân chúng xin tha tên là gì? (Mt 27,21)",Baraba.,Esau,Giu-đa,Timôthê,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Trước khi điệu Chúa Giêsu đi đóng đinh vào thập giá bọn lính làm gì Người? (Mt 27,30-31)",Chúng khạc nhổ vào Người.,Lấy cây sậy mà đập vào đầu Người.,"Chúng chế giễu chán, chúng lột áo choàng ra, và cho Người mặc áo lại như trước.",Tất cả đều đúng.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Người vác đỡ thập giá Chúa Giêsu tên là gì? (Mt 27,32)",Simôn.,Phê-rô,Gioan,Gia-cô-bê.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ông Simôn, người vác đỡ thập giá Chúa Giêsu ở đâu? (Mt 27,32)",Kyrênê.,Phinixi,Samari,Canaan,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Hắn cứu được thiên hạ, mà chẳng cứu nổi mình. Hắn là Vua Ítraen! Hắn cứ xuống khỏi thập giá ngay bây giờ đi, chúng ta tin hắn liền!” Đây là lời của ai chế giễu Chúa Giêsu? (Mt 27,41-42)","Các thượng tế,","Kinh sư,",Kỳ mục.,Tất cả đều đúng.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Vào giờ thứ mấy, Đức Giêsu kêu lớn tiếng: “Ê-li, Ê-li, lê-ma xa-bác-tha-ni”? (Mt 27,46)",Giờ thứ sáu.,Giờ thứ chín.,Giờ thứ mười.,Giờ thứ mười một.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi nghe Chúa Giêsu kêu lớn tiếng: “Ê-li, Ê-li, lê-ma xa-bác-tha-ni”, nghĩa là “Lạy Thiên Chúa, lạy Thiên Chúa của con, sao Ngài bỏ rơi con?” người ta nghĩ Chúa Giêsu gọi ai? (Mt 27,46-48)",Ông Êlia.,Ông Mô-sê.,Ông Elisha.,Ông Abraham.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi Chúa Giêsu trút linh hồn, điều gì đã xảy ra? (Mt 27,50-52)",Bức màn trướng trong Đền Thờ xé ra làm hai từ trên xuống dưới.,Đất rung đá vỡ.,"Mồ mả bật tung, và xác của nhiều vị thánh đã an nghỉ được trỗi dậy.",Tất cả đều đúng.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Quả thật ông này là Con Thiên Chúa.” Đây là lời của ai? (Mt 27,54)",Viên đại đội trưởng.,Philato,Tên lính Rôma,Tên trộm lành.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Mẹ các ông Giacôbê và Giôxếp đứng dưới chân thập giá tên là gì? (Mt 27,56)",Sharah,Bà Maria.,Salômê,Anna.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Người đến gặp ông Philatô để xin thi hài Chúa Giêsu tên là gì? (Mt 27,57-58)",Đi-cô-ni-mô,Ông Simon,Giôxếp.,Ông Narazô,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi ngày thứ nhất ló rạng, ai đã đi ra viếng mộ Chúa Giêsu? (Mt 28,1)",Bà Maria Mácđala.,Bà Matha,Bà Anna,Bà Verônica.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai đã lăn tảng đá ngăn mộ Chúa Giêsu? (Mt 28,2)",Lính canh mộ,Người làm vườn,Thiên thần Chúa.,Các bà phụ nữ.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi thấy thiên thần Chúa, các lính canh có thái độ gì? (Mt 28,4)",Vui mừng và tạ ơn.,Kinh hãi và chạy trốn.,"Khiếp sợ, run rẩy chết ngất đi.",Không nhận ra vì cứng tin.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Thiên thần Chúa nói với các bà, các môn đệ sẽ được thấy Chúa Giêsu tại đâu? (Mt 28,5-7)",Tại Galilê.,Tại Bê-ta-ni-a,Tại Giêrusalem.,Tại Nazareth.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Có bao nhiêu môn đệ đi tới miền Galilê, đến ngọn núi Đức Giêsu đã truyền cho các ông đến? (Mt 28,16)",Mười hai môn đệ,Mười một môn đệ.,Bảy môn đệ.,Ba môn đệ.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu: “Vậy anh em hãy đi và làm cho muôn dân trở thành môn đệ, làm phép rửa cho họ nhân danh Chúa Cha, Chúa Con và Chúa Thánh Thần, dạy bảo họ tuân giữ mọi điều Thầy đã truyền cho anh em. Và đây, ... ... ... .”(Mt 28,19-20)",Thầy ở cùng anh em mọi ngày cho đến tận thế.,Thầy sẽ ra đi mãi mãi,Thầy sẽ không còn gặp lại anh em nữa.,Anh em hãy làm chứng về Thầy.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
